Borough	Event Type	Audience	Attendance	Class
Queens	Local Event	General Public	1200.0	Play
Queens	Local Event	General Public	600.0	Play
Queens	Local Event	General Public	400.0	Play
Queens	Local Event	General Public	250.0	Play
Queens	Local Event	General Public	190.0	Play
Queens	Local Event	General Public	200.0	Play
Queens	Local Event	General Public	350.0	Play
Queens	Open House	General Public	80.0	AC&F
Queens	Community Based Event	General Public	1000.0	Play
Brooklyn	Tournament/Competition	Seniors	102.0	Sport
Queens	Tournament/Competition	Young Adult,Adults,Seniors	254.0	Sport
Bronx	Tournament/Competition	Seniors	116.0	Sport
Queens	Tournament/Competition	Children,General Public	928.0	Sport
Queens	Tournament/Competition	Children,General Public	1288.0	Sport
Queens	Tournament/Competition	Children,General Public	1047.0	Sport
Queens	Tournament/Competition	Children,General Public	1255.0	Sport
Manhattan	Community Based Event	General Public	12.0	Other
Manhattan	Community Based Event	General Public	4.0	AC&F
Manhattan	Community Based Event	General Public	29.0	Dance
Manhattan	Community Based Event	General Public	65.0	AC&F
Manhattan	Community Based Event	General Public	185.0	Dance
Manhattan	Community Based Event	General Public	69.0	AC&F
Manhattan	Community Based Event	General Public	12.0	Other
Manhattan	Community Based Event	General Public	70.0	AC&F
Manhattan	Community Based Event	General Public	21.0	Other
Queens	Community Based Event	General Public	75.0	Play
Queens	Community Based Event	Children,Teens	19.0	Other
Queens	Community Based Event	Children,Teens	23.0	Other
Manhattan	Community Based Event	Adults,Teens,Seniors,General Public	6.0	Other
Manhattan	Community Based Event	General Public	10.0	Other
Manhattan	Community Based Event	Seniors	2.0	Other
Manhattan	Community Based Event	General Public	90.0	AC&F
Manhattan	Community Based Event	Teens	12.0	Fitness
Manhattan	Community Based Event	General Public	85.0	Other
Manhattan	Community Based Event	General Public	40.0	AC&F
Manhattan	Community Based Event	General Public	85.0	AC&F
Manhattan	Community Based Event	Children,Young Adult,Teens	35.0	Other
Manhattan	Community Based Event	Adults,Teens,Young Adult,General Public	246.0	M.U.T.S
Manhattan	Community Based Event	Children,Young Adult,Teens,Adults	48.0	Other
Brooklyn	Agency Produced Event	Adults	10.0	Sport
Manhattan	Community Based Event	General Public,Teens,Adults	290.0	M.U.T.S
Manhattan	Community Based Event	General Public	350.0	AC&F
Manhattan	Community Based Event	Adults,Teens,General Public	25.0	Dance
Manhattan	Community Based Event	Children,Young Adult,General Public	325.0	M.U.T.S
Staten Island	Community Based Event	General Public	70.0	M.U.T.S
Staten Island	Community Based Event	General Public	125.0	M.U.T.S
Staten Island	Community Based Event	General Public	75.0	M.U.T.S
Manhattan	Community Based Event	Adults,Teens,Young Adult,General Public	60.0	Dance
Manhattan	Community Based Event	General Public,Adults,Young Adult,Seniors	166.0	Fitness
Manhattan	Community Based Event	General Public,Tot,Children	778.0	Other
Manhattan	Community Based Event	General Public	212.0	AC&F
Manhattan	Community Based Event	Teens,Adults,Young Adult,General Public	281.0	M.U.T.S
Staten Island	Community Based Event	General Public	45.0	M.U.T.S
Staten Island	Community Based Event	General Public	75.0	M.U.T.S
Staten Island	Community Based Event	General Public	45.0	M.U.T.S
Staten Island	Community Based Event	General Public	65.0	M.U.T.S
Staten Island	Community Based Event	General Public	35.0	M.U.T.S
Staten Island	Community Based Event	General Public	40.0	M.U.T.S
Brooklyn	Community Based Event	General Public	625.0	Music
Brooklyn	Community Based Event	Children,Young Adult,Adults,Teens,Seniors,Adaptive,General Public	75.0	Dance
Brooklyn	Community Based Event	Young Adult,Adults,Teens,Seniors,General Public	225.0	M.U.T.S
Brooklyn	Community Based Event	Young Adult,Adults,Teens,Seniors,General Public	550.0	Music
Brooklyn	Community Based Event	Tot,Children,Young Adult,Teens,Adults,General Public,Adaptive,Seniors	200.0	M.U.T.S
Brooklyn	Community Based Event	Young Adult,Adults,Teens,Seniors	500.0	M.U.T.S
Manhattan	Community Based Event	Adults,Young Adult,Seniors,General Public	160.0	AC&F
Manhattan	Community Based Event	Young Adult,Adults,Seniors	43.0	Fitness
Manhattan	Community Based Event	Children,Young Adult,Adults,Teens,General Public,Seniors,Adaptive	80.0	AC&F
Queens	Community Based Event	General Public	300.0	M.U.T.S
Queens	Community Based Event	General Public	300.0	M.U.T.S
Queens	Community Based Event	General Public	160.0	M.U.T.S
Queens	Community Based Event	General Public	160.0	M.U.T.S
Bronx	Community Based Event	General Public	60.0	M.U.T.S
Bronx	Community Based Event	General Public	20.0	M.U.T.S
Bronx	Community Based Event	General Public	30.0	M.U.T.S
Brooklyn	Community Based Event	General Public	350.0	Other
Manhattan	Local Event	Teens	5.0	Fitness
Queens	Community Based Event	Children	83.0	Play
Queens	Community Based Event	Children,Adaptive	217.0	Play
Queens	Community Based Event	Tot,Children,Young Adult	70.0	Other
Manhattan	Community Based Event	General Public,Adults,Young Adult,Children	325.0	M.U.T.S
Manhattan	Community Based Event	General Public,Teens,Adults	165.0	M.U.T.S
Manhattan	Community Based Event	General Public	125.0	AC&F
Manhattan	Community Based Event	General Public	55.0	Dance
Manhattan	Community Based Event	General Public,Children,Tot,Teens	1150.0	Other
Manhattan	Community Based Event	General Public	82.0	AC&F
Manhattan	Community Based Event	Teens	32.0	Fitness
Manhattan	Community Based Event	General Public	61.0	Other
Manhattan	Community Based Event	General Public	15.0	AC&F
Manhattan	Community Based Event	General Public,Seniors,Adults	40.0	AC&F
Manhattan	Community Based Event	Seniors	150.0	Fitness
Manhattan	Community Based Event	General Public	20.0	AC&F
Manhattan	Tournament/Competition	Adults	30.0	Sport
Brooklyn	Community Based Event	General Public	312.0	M.U.T.S
Brooklyn	Community Based Event	General Public	252.0	M.U.T.S
Brooklyn	Community Based Event	General Public	179.0	M.U.T.S
Brooklyn	Community Based Event	General Public	115.0	M.U.T.S
Brooklyn	Community Based Event	General Public	75.0	M.U.T.S
Brooklyn	Community Based Event	General Public	200.0	M.U.T.S
Bronx	Community Based Event	General Public	60.0	Other
Bronx	Community Based Event	General Public	50.0	Other
Bronx	Community Based Event	General Public	140.0	Other
Staten Island	Agency Produced Event	General Public	120.0	Other
Manhattan	Tournament/Competition	Teens	32.0	Fitness
Manhattan	Community Based Event	Young Adult,Adults,Teens,Adaptive,Seniors,General Public,Children	16.0	AC&F
Manhattan	Community Based Event	Children,Young Adult,Adults,Teens,General Public,Seniors,Adaptive	25.0	AC&F
Queens	Community Based Event	General Public	30.0	M.U.T.S
Queens	Community Based Event	General Public	150.0	M.U.T.S
Queens	Community Based Event	General Public	145.0	M.U.T.S
Queens	Community Based Event	General Public	30.0	M.U.T.S
Queens	Community Based Event	General Public	68.0	M.U.T.S
Queens	Community Based Event	General Public	173.0	M.U.T.S
Manhattan	Community Based Event	Children,General Public	126.0	M.U.T.S
Manhattan	Community Based Event	General Public,Children,Young Adult	285.0	M.U.T.S
Manhattan	Community Based Event	Children,Tot,Young Adult,General Public	85.0	M.U.T.S
Manhattan	Community Based Event	Adults,Young Adult,Teens,General Public	160.0	M.U.T.S
Manhattan	Community Based Event	Children,Young Adult,Adults,Teens,Seniors,General Public	185.0	Other
Manhattan	Community Based Event	Children,Teens	30.0	AC&F
Manhattan	Community Based Event	General Public	350.0	AC&F
Manhattan	Community Based Event	General Public	80.0	AC&F
Manhattan	Community Based Event	General Public	45.0	Fitness
Manhattan	Community Based Event	Seniors	16.0	Fitness
Bronx	Community Based Event	General Public	0.0	Movies
Bronx	Community Based Event	General Public	20.0	Other
Bronx	Community Based Event	General Public	150.0	Other
Manhattan	Community Based Event	Young Adult,Adults,Seniors,General Public	45.0	Fitness
Manhattan	Community Based Event	Children,Teens,General Public	385.0	M.U.T.S
Manhattan	Community Based Event	Tot,Children,Teens,General Public	135.0	M.U.T.S
Manhattan	Community Based Event	Children,Adults,Teens,Seniors,General Public	105.0	M.U.T.S
Manhattan	Community Based Event	Tot,Children,Adults,Teens,Seniors,General Public	2015.0	Other
Bronx	Community Based Event	Young Adult,Teens,General Public	40.0	Lecture/Panel/Talk
Bronx	Community Based Event	General Public	40.0	M.U.T.S
Manhattan	Community Based Event	Teens	325.0	Lecture/Panel/Talk
Manhattan	Local Event	Young Adult,Adults,Teens,Children	25.0	Dance
Manhattan	Agency Produced Event	Young Adult,Adults,Adaptive,Seniors,General Public	85.0	AC&F
Manhattan	Community Based Event	Children,Young Adult,Adults,Tot,Teens,Adaptive,Seniors,General Public	64.0	AC&F
Manhattan	Community Based Event	Teens,Young Adult	50.0	AC&F
Manhattan	Community Based Event	Children,Tot,Adults,Young Adult,Teens	15.0	Fitness
Staten Island	Local Event	General Public	18.0	Other
Queens	Open House	Teens,Children	33.0	Fitness
Queens	Local Event	General Public	200.0	Play
Queens	Open House	General Public	25.0	AC&F
Queens	Open House	General Public	60.0	AC&F
Bronx	Community Based Event	Tot,Children,Young Adult,Adults,Teens,Adaptive,Seniors,General Public	40.0	M.U.T.S
Bronx	Community Based Event	Tot,Children,Young Adult,Adults,Teens	50.0	M.U.T.S
Manhattan	Community Based Event	General Public,Teens,Young Adult,Children,Adults	100.0	M.U.T.S
Manhattan	Community Based Event	Tot,Children,General Public	325.0	M.U.T.S
Queens	Agency Produced Event	General Public	150.0	Other
Queens	Open House	Children,Teens,Young Adult	3.0	Fitness
Queens	Open House	General Public	75.0	Fitness
Queens	Open House	General Public	0.0	AC&F
Queens	Open House	General Public	70.0	AC&F
Queens	Open House	General Public	145.0	AC&F
Queens	Agency Produced Event	General Public	2000.0	Other
Queens	Open House	General Public	23.0	AC&F
Queens	Open House	General Public	30.0	AC&F
Queens	Open House	Teens	41.0	Sport
Queens	Tournament/Competition	Seniors	25.0	Sport
Queens	Tournament/Competition	Teens	25.0	Sport
Manhattan	Open House	Children,Young Adult,Adults,Teens,Seniors,General Public	20.0	AC&F
Queens	Open House	General Public	180.0	Dance
Staten Island	Open House	Young Adult,Adults,Teens	40.0	Other
Queens	Local Event	General Public	27.0	Music
Manhattan	Agency Produced Event	General Public	1250.0	Other
Staten Island	Community Based Event	General Public	17.0	Other
Queens	Open House	Young Adult	17.0	Music
Bronx	Tournament/Competition	Teens	135.0	Other
Queens	Community Based Event	General Public	60.0	Other
Staten Island	Community Based Event	General Public	60.0	Other
Manhattan	Agency Produced Event	Children,Teens	36.0	Sport
Brooklyn	Agency Produced Event	Children,Adults,Teens	22.0	Play
Bronx	Community Based Event	General Public	42.0	Other
Queens	Community Based Event	Children,Teens,General Public	200.0	Sport
Manhattan	Community Based Event	General Public	15.0	Other
Manhattan	Open House	Young Adult,Adults	35.0	Other
Manhattan	Local Event	General Public	10.0	Other
Queens	Agency Produced Event	Children	31.0	Play
Manhattan	Community Based Event	Young Adult,Adults,Seniors,General Public,Teens,Children	34.0	Music
