Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Audience,Attendance
Recreation,Council Member Holden,05/18/2019 01:00:00 PM,Queens,Playground,Rosemarys Playground,Spring Festival at Rosemarys Playground,Local Event,Family Festival,Play,General Public,1200
Recreation,Family Day at Mauro Playground,05/19/2019 01:00:00 PM,Queens,Playground,Mauro Playground,Family Day at Mauro Playground,Local Event,Family Festival,Play,General Public,600
Recreation,Council Member Holden,05/25/2019 01:00:00 AM,Queens,Park,Frank Principe Park,Spring Festival at Frank Principe Park,Local Event,Family Festival,Play,General Public,400
Recreation,Council Member Lanceman,05/26/2019 01:00:00 PM,Queens,Playground,Ponomok Playground,Family Day at Ponomok Playground,Local Event,Family Festival,Play,General Public,250
Recreation,Council Member Adrienne Adams,06/02/2019 01:00:00 PM,Queens,Park,Baisley Park Extension,District 28 Day,Local Event,Family Festival,Play,General Public,190
Recreation,Council Member Daneek Miller,06/06/2019 12:00:00 PM,Queens,Playground,Skating Day at Daniel O’Connell,Skating Day at Daniel O’Connell,Local Event,Family Festival,Play,General Public,200
Recreation,Council Member Rory Lancman,06/08/2019 01:00:00 PM,Queens,Playground,Utopia Playground,Fresh Meadows Family Day,Local Event,Family Festival,Play,General Public,350
Recreation,Queensboro Dance Festival,06/08/2019 06:00:00 PM,Queens,Playground,Beach 17th Playground,Queensboro Dance Festival,Open House,Arts/Culture,AC&F,General Public,80
Recreation,"Council Member Rory Lancman, Briarwood Community Association and Archbishop Molloy High School",06/09/2019 01:00:00 PM,Queens,Playground,Hoover Manton Playground,Briarwood Family Day,Community Based Event,Family Festival,Play,General Public,1000
Aquatics,Brooklyn Recreation,05/10/2019 09:00:00 AM,Brooklyn,Recreation Center,Brownsville Recreation Center,Senior Games,Tournament/Competition,Sport,Tier 1,Seniors,102
Aquatics,,05/05/2019 09:45:00 AM,Queens,Recreation Center,Flushing Meadows Corona Park Pool & Rink,Masters Meet,Tournament/Competition,Sport,Tier 1,Young Adult;#Adults;#Seniors,254
Aquatics,Bronx Recreation,05/31/2019 10:00:00 AM,Bronx,Recreation Center,St. Mary's Recreation Center,Senior Swim Olympics,Tournament/Competition,Sport,Aquatics,Seniors,116
Aquatics,,05/19/2019 10:00:00 AM,Queens,Recreation Center,Flushing Meadows Corona Park Pool & Rink,Borough Cup Championship,Tournament/Competition,Sport,Tier 1,Children;#General Public,928
Aquatics,,04/28/2019 09:00:00 AM,Queens,Recreation Center,Flushing Meadows Corona Park Pool & Rink,High Point 3,Tournament/Competition,Sport,Tier 1,Children;#General Public,1288
Aquatics,,03/24/2019 09:00:00 AM,Queens,Recreation Center,Flushing Meadows Corona Park Pool & Rink,High Point  2,Tournament/Competition,Sport,Tier 1,Children;#General Public,1047
Aquatics,,12/02/2018 09:00:00 AM,Queens,Recreation Center,Flushing Meadows Corona Park Pool & Rink,High Point 1,Tournament/Competition,Sport,Tier 1,Children;#General Public,1255
Recreation,,04/26/2019 06:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Art Inspired by Rail Martinez,Community Based Event,Arts/Culture,,General Public,12
Recreation,Jazz Foundation,04/27/2019 01:00:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Make Your Mark: Character Design Workshop,Community Based Event,Arts/Culture,AC&F,General Public,4
Recreation,Strictly Tango,05/01/2019 07:00:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,Strictly Tango Series,Community Based Event,Arts/Culture,Dance,General Public,29
Recreation,Jazz Foundation,05/02/2019 06:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,65
Recreation,,05/02/2019 06:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,Shape-Up: Silent Disco,Community Based Event,Fitness,Dance,General Public,185
Recreation,Jazz Foundation,05/03/2019 06:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,69
Recreation,,05/04/2019 09:00:00 PM,Manhattan,Recreation Center,Thomas Jefferson Recreation Center,Table Tennis Challenge,Community Based Event,Sport,,General Public,12
Recreation,Jazz Foundation,05/09/2019 06:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,70
Recreation,,05/10/2019 06:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,A Mother's Love Paint Excusrion,Community Based Event,Arts/Culture,,General Public,21
Recreation,Community Board 3,06/08/2019 10:00:00 AM,Queens,Park,Junction Playground,Community Board 3 Health Fair,Community Based Event,Mobile Unit,Play,General Public,75
Recreation,Bike NYC,05/25/2019 11:00:00 AM,Queens,Park,Arverne Playground,Learn to Ride,Community Based Event,Sport,,Children;#Teens,19
Recreation,Bike NYC,05/18/2019 11:00:00 AM,Queens,Park,Grover Cleveland Park,Learn to Ride,Community Based Event,Sport,,Children;#Teens,23
Recreation,,05/11/2019 12:30:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,She Got Game,Community Based Event,Fitness,,Adults;#Teens;#Seniors;#General Public,6
