ObjectId,ResponseID,EndDate,Finished,Rate_your_satisfaction_with_thi,Satisfaction_Level,Program,Answered_Question__1_yes__0_no_,Percent_,Fiscal_Year,FY
1,R_00UuuCqKP6mpniB,2016/09/06 06:27:00,1,29,Poor,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
2,R_01GI5q3kULd5gu5,2017/06/13 21:43:59,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
3,R_0BSu5Io65oKMNgt,2018/06/26 13:27:00,1,5,Very Dissatisfied,Gymnastics,1,,2018/06/30 00:00:00,FY 2018
4,R_0CFA3GkpssVF0JP,2018/05/30 13:05:59,1,2,Satisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
5,R_0dKcf1P372Wq46d,2018/05/30 12:53:59,1,5,Very Dissatisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
6,R_0GKTI4OCRdgPyst,2016/08/30 20:42:59,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
7,R_0iZ8DIoYN88w4uZ,2017/06/13 12:33:59,1,2,Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
8,R_0JS16RuEU5cpH9L,2018/06/26 12:21:59,1,5,Very Dissatisfied,Gymnastics,1,,2018/06/30 00:00:00,FY 2018
9,R_0k7RO6XvSeVsvAJ,2017/06/13 11:51:59,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
10,R_0NWDbFu3fw3RZQd,2018/06/27 09:06:00,1,1,Very Satisfied,Music Program,1,,2018/06/30 00:00:00,FY 2018
11,R_0Tb68KqgIDXFmXD,2016/08/31 21:29:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
12,R_0UPyAi8TQqeniYp,2017/06/13 15:11:00,1,2,Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
13,R_0vNXouwcMuRZlGF,2017/06/13 13:18:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
14,R_0W0AFNnfi4j6T85,2017/06/13 11:28:00,1,1,Very Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
15,R_10BeU1Mbu7TOKcU,2018/06/26 09:56:59,1,1,Very Satisfied,Education Program,1,,2018/06/30 00:00:00,FY 2018
16,R_10CafUgNuU2XIVq,2017/06/13 11:26:59,1,3,Neutral,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
17,R_10CQfHsPLSSR3bj,2018/06/26 16:21:00,1,2,Satisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
18,R_10CxCRxIseG0Mgu,2017/06/29 20:35:00,1,2,Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
19,R_10DjPysq1I2n8ej,2017/06/16 14:38:00,1,2,Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
20,R_10JH0ggf6CMWq1s,2016/08/30 18:04:59,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
21,R_10TsnUbcKhOpsRs,2017/06/13 16:56:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
22,R_10u9CRv5MY1wjm6,2017/06/13 15:10:00,1,2,Satisfied,Youth Sports Leagues,1,,2017/06/30 00:00:00,FY 2017
23,R_10vIqSfqRJvtFTF,2018/06/26 09:46:59,1,1,Very Satisfied,Sports Instruction Classes,1,,2018/06/30 00:00:00,FY 2018
24,R_10w3UhjkzoSH3uX,2017/06/16 13:33:00,1,2,Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
25,R_10Zvcom4L1lZarK,2017/06/13 21:39:00,1,4,Dissatisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
26,R_110DH3CZhjKSAsp,2017/06/13 15:13:00,1,2,Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
27,R_114osxZ9gL9Nwrh,2017/07/01 16:36:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
28,R_11dLCiuBbX6SQ7g,2017/06/13 11:55:00,1,3,Neutral,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
29,R_11i79qz5G9uMu1A,2018/06/26 08:52:59,1,2,Satisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
30,R_11iTrat8wbMpP9D,2017/06/13 16:47:59,1,1,Very Satisfied,Martial Arts,1,,2017/06/30 00:00:00,FY 2017
31,R_11jPYakUfnfoXYq,2017/06/13 11:58:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
32,R_11XTX3fGIWkanvE,2016/09/01 11:36:59,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
33,R_11YocnqmUg0WXEJ,2017/06/13 12:39:00,1,3,Neutral,Education Program,1,,2017/06/30 00:00:00,FY 2017
34,R_11Z3hid3Ba5Cuz3,2016/08/30 23:13:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
35,R_11ZubnwWYuMKUSs,2017/06/14 07:24:00,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
36,R_11Zvz9h0A7H9J8U,2018/07/02 11:06:59,1,1,Very Satisfied,Senior Programming,1,,2018/06/30 00:00:00,FY 2018
37,R_123dsHYWBo00skK,2017/06/14 04:57:59,1,2,Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
