id,fiscal_year,function_,program,department,Type,Type_Detail,approved_amount,fund_type,exFund,ExpenseType,ObjectId
0,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Special Department Supplies,89008,General,General,Expenditures,17
1,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Sports Equipment,16000,Special Revenue,Special Revenue,Expenditures,29
2,2019,Culture and Recreation,,Parks and Recreation,Building Maintenance,Building Repair Materials,230,General,General,Expenditures,47
3,2019,Culture and Recreation,,Parks and Recreation,Rentals,Laundry & Uniform Rental,1165,General,General,Expenditures,65
4,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Office Supplies,15728,General,General,Expenditures,66
5,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Staff Uniforms,4591,General,General,Expenditures,80
6,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Computer Supplies,1377,General,General,Expenditures,89
7,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Office Supplies,4040,General,General,Expenditures,108
8,2019,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Alternative Fuels,2111,General,General,Expenditures,117
9,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Boards & Commissions,138,General,General,Expenditures,149
10,2019,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Salaries and Wages,839777,General,General,Expenditures,170
11,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous,Permits,2754,General,General,Expenditures,171
12,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Kitchen Utensils,1041,General,General,Expenditures,215
13,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Desktop Printer Charges,2225,General,General,Expenditures,252
14,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Other Professional Services,10000,Special Revenue,Special Revenue,Expenditures,265
15,2019,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,PC Applications & Infrastructure,522585,General,General,Expenditures,267
16,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Artistic Services,1044,General,General,Expenditures,285
17,2019,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Equipment Replacement,1377,General,General,Expenditures,304
18,2019,Economic Development and Assistance,,Parks and Recreation,"Salaries, Wages & Benefits",Benefit Allocation,51060,Special Revenue,Special Revenue,Expenditures,309
19,2019,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Overtime,80000,General,General,Expenditures,317
20,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Guest Speaker Fees,3673,General,General,Expenditures,343
21,2019,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Long Distance,100,Special Revenue,Special Revenue,Expenditures,350
22,2019,Culture and Recreation,,Parks and Recreation,Utilities,Electricity,898000,Special Revenue,Special Revenue,Expenditures,352
23,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Photo & Duplicating Supplies,130,General,General,Expenditures,390
24,2019,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,PC Applications & Infrastructure,125215,General,General,Expenditures,404
25,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Leagues & Tournaments,5000,Special Revenue,Special Revenue,Expenditures,407
26,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Entertainment,126,General,General,Expenditures,420
27,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous,Dues & Subscriptions,2060,General,General,Expenditures,435
28,2019,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Salaries and Wages,1672469,General,General,Expenditures,449
29,2019,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Basic,48138,General,General,Expenditures,454
30,2019,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Basic,2500,Special Revenue,Special Revenue,Expenditures,479
31,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Medical Services,663,Special Revenue,Special Revenue,Expenditures,481
32,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Desktop Printer Charges,100,Special Revenue,Special Revenue,Expenditures,484
33,2019,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - City Vehicles,10534,General,General,Expenditures,489
34,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Postage & Shipping,790,Special Revenue,Special Revenue,Expenditures,503
35,2019,Culture and Recreation,,Parks and Recreation,Liability Insurance,Vehicle Liability Insurance,900,General,General,Expenditures,511
36,2019,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Benefit Allocation,701917,General,General,Expenditures,569
37,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Costumes,276,General,General,Expenditures,576
38,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Decorations,2113,General,General,Expenditures,578
39,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Printing & Reproduction,1946,Special Revenue,Special Revenue,Expenditures,584
40,2019,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Overtime,2000,General,General,Expenditures,585
41,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Sports Equipment,15501,General,General,Expenditures,592
42,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Permit Fees,6027,General,General,Expenditures,667
43,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Custodial Services,230,General,General,Expenditures,673
44,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Meals & Entertainment,1837,General,General,Expenditures,707
45,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Medical Supplies,7970,General,General,Expenditures,712
46,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Sports Officials,30879,General,General,Expenditures,714
47,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Leagues & Tournaments,47793,General,General,Expenditures,727
48,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Computer Supplies,3591,General,General,Expenditures,731
49,2019,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Hourly Wages,124000,Special Revenue,Special Revenue,Expenditures,770
50,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Awards/Trophies,276,General,General,Expenditures,796
51,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Sets/Props,184,General,General,Expenditures,841
52,2019,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Benefit Allocation,359522,Special Revenue,Special Revenue,Expenditures,873
53,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Awards/Trophies,598,General,General,Expenditures,921
54,2019,Culture and Recreation,,Parks and Recreation,Rentals,Port-A-Potties,510,Special Revenue,Special Revenue,Expenditures,923
55,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,7160,Special Revenue,Special Revenue,Expenditures,949
56,2019,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Benefit Allocation,2564862,General,General,Expenditures,958
